,row_date,split,id,calls_answered,aht
341,2020-08-14,904,1290043491,1,32.0
342,2020-08-14,904,1290043632,1,21.0
343,2020-08-14,904,1290024012,2,30.5
344,2020-08-14,904,1290018936,2,55.5
345,2020-08-14,904,1290043815,4,28.75
346,2020-08-14,904,1290038817,1,20.0
347,2020-08-14,904,1290044364,3,17.3333333333333
348,2020-08-14,904,1290043821,1,38.0
349,2020-08-14,904,1290028206,1,4.0
350,2020-08-14,904,1290013089,1,8.0
351,2020-08-14,904,1290029955,2,44.5
352,2020-08-14,904,1290043722,1,49.0
353,2020-08-14,904,1290043842,3,25.3333333333333
354,2020-08-14,904,1290034734,1,71.0
355,2020-08-14,909,1290043815,1,76.0
356,2020-08-14,909,1290013089,1,42.0
357,2020-08-14,909,1290043722,1,1.0
358,2020-08-17,902,1290043491,12,28.0833333333333
359,2020-08-17,902,639043557,8,26.0
360,2020-08-17,902,1290043632,12,21.4166666666667
361,2020-08-17,902,1290043839,6,35.1666666666667
362,2020-08-17,902,1290043815,9,36.6666666666667
363,2020-08-17,902,1290038523,14,25.142857142857103
364,2020-08-17,902,1290038817,7,34.1428571428571
365,2020-08-17,902,1290044364,15,19.3333333333333
366,2020-08-17,902,1290043821,8,40.0
367,2020-08-17,902,1290028206,5,27.6
368,2020-08-17,902,1290013089,7,36.2857142857143
369,2020-08-17,902,1290029955,7,23.714285714285698
370,2020-08-17,902,1290045066,6,32.6666666666667
371,2020-08-17,902,1290043722,8,37.5
372,2020-08-17,902,978007026,15,22.9333333333333
373,2020-08-17,902,1290043842,9,38.5555555555556
374,2020-08-17,904,1290043491,1,39.0
375,2020-08-17,904,639043557,4,32.75
376,2020-08-17,904,1290043632,6,21.0
377,2020-08-17,904,1290043839,4,42.5
378,2020-08-17,904,1290043815,2,7.5
379,2020-08-17,904,1290038523,1,32.0
380,2020-08-17,904,1290044364,2,21.5
381,2020-08-17,904,1290043821,2,37.5
382,2020-08-17,904,1290013089,4,17.25
383,2020-08-17,904,1290029955,5,31.4
384,2020-08-17,904,1290045066,4,22.0
